family,method,run,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_prediction_mean
permutation,permuted_llm_a1p25,90,2.6499738241687405,3.8912995823050025,-0.6516848080230783,0.1233057246934498,3.180228874156878
permutation,permuted_gated_a1_d0p15,90,2.5814626460129597,3.6845125780949117,0.012773571023301566,0.21400655760963394,3.844687253203258
permutation,permuted_llm_a1p25,91,2.6542277078283747,3.86177169325156,-0.6465860739881029,0.13656027545616922,3.185327608191853
permutation,permuted_gated_a1_d0p15,91,2.582322241333538,3.667191317992427,0.004692007166202877,0.22137925359030153,3.836605689346159
permutation,permuted_llm_a1p25,92,2.6231207183138814,3.8727796415530094,-0.6815329542054276,0.13163080414639683,3.1503807279745284
permutation,permuted_gated_a1_d0p15,92,2.5699026428135205,3.679134075446529,-0.0014996421173648828,0.21629960570138884,3.8304140400625912
permutation,permuted_llm_a1p25,93,2.6305821064306047,3.8862680353115016,-0.6584654781937326,0.12557143387496494,3.173448203986223
permutation,permuted_gated_a1_d0p15,93,2.583591550510345,3.685889863011195,0.006242932755576005,0.2134188330638357,3.838156614935532
permutation,permuted_llm_a1p25,94,2.649136343117867,3.863522160838961,-0.6498779629204098,0.13577733647309953,3.1820357192595465
permutation,permuted_gated_a1_d0p15,94,2.569537473890122,3.66058381918305,0.016601105491120646,0.22418254381948055,3.8485147876710766
permutation,permuted_llm_a1p25,95,2.6537109591436474,3.917180066724289,-0.6424095597691787,0.1116054052366654,3.189504122410777
permutation,permuted_gated_a1_d0p15,95,2.5843668864754874,3.696578480322945,0.01830451785964239,0.20885024545708897,3.850218200039598
permutation,permuted_llm_a1p25,96,2.6506778553094845,3.8822242196784518,-0.6323201420930735,0.1273902421430041,3.1995935400868825
permutation,permuted_gated_a1_d0p15,96,2.5823000398880787,3.6862654327734705,0.01910011721941454,0.2132585292222079,3.8510137993993707
permutation,permuted_llm_a1p25,97,2.631177714876551,3.8869133605458352,-0.6499281018636837,0.12528100734482472,3.1819855803162724
permutation,permuted_gated_a1_d0p15,97,2.5893893294354395,3.700497085665766,0.02013675960568863,0.2071720195641873,3.8520504417856447
permutation,permuted_llm_a1p25,98,2.6357660678628254,3.8582033527313175,-0.6239518895935586,0.13815520324138408,3.2079617925863975
permutation,permuted_gated_a1_d0p15,98,2.5855718944108528,3.6795703963736033,0.03900087458293882,0.21611371132962887,3.8709145567628953
permutation,permuted_llm_a1p25,99,2.647497384026501,3.894170950323772,-0.64674453008644,0.12201143181970941,3.185169152093516
permutation,permuted_gated_a1_d0p15,99,2.584091481387601,3.687969106829648,0.019645694960685224,0.21253114765360692,3.851559377140641
permutation,permuted_llm_a1p25,100,2.65366361823802,3.8663033155595117,-0.6259668395454058,0.13453266804223163,3.20594684263455
permutation,permuted_gated_a1_d0p15,100,2.5803429056910305,3.669764108906609,0.027711338960709625,0.220286356650643,3.859625021140666
permutation,permuted_llm_a1p25,101,2.6625507698522144,3.950399725632198,-0.6527158944605292,0.09647344606270558,3.1791977877194264
permutation,permuted_gated_a1_d0p15,101,2.5857439154372788,3.715885803183693,0.01598656734102432,0.20056427255711173,3.8479002495209804
permutation,permuted_llm_a1p25,102,2.661665434298484,3.894152655663133,-0.6506501165867407,0.12201968131125673,3.1812635655932153
permutation,permuted_gated_a1_d0p15,102,2.5900878307176245,3.6929466270524323,0.009617824463104495,0.21040407601918165,3.84153150664306
permutation,permuted_llm_a1p25,103,2.647348150418456,3.8799367393379933,-0.6467700535558291,0.12841825571955878,3.185143628624127
permutation,permuted_gated_a1_d0p15,103,2.577921979063799,3.6793471196384813,0.016892669295544307,0.21620884105520166,3.8488063514755
permutation,permuted_llm_a1p25,104,2.6307908420769643,3.8485700768240085,-0.6429606909256201,0.14245358937289487,3.188952991254336
permutation,permuted_gated_a1_d0p15,104,2.5865797549250593,3.6679747247074426,0.01270100441301953,0.22104655108221027,3.8446146865929753
permutation,permuted_llm_a1p25,105,2.626478868362688,3.8704104466023335,-0.6409596268737631,0.13269293874274923,3.190954055306193
permutation,permuted_gated_a1_d0p15,105,2.5793956354461907,3.6907691620821366,0.02217581727855372,0.21133493733932707,3.85408949945851
