method,sample_size,seed,leaf,calibrated_leaf_value
llm_rule_small_hist_calibrated_n100,100,20270611,nonworker_other,8.489420297302853
llm_rule_small_hist_calibrated_n100,100,20270611,urban_nonworker,9.095610751774895
llm_rule_small_hist_calibrated_n100,100,20270611,worker_vehicle_household,9.042783854689258
llm_rule_small_hist_calibrated_n100,100,20270612,carless_nonworker,11.074423164410765
llm_rule_small_hist_calibrated_n100,100,20270612,carless_worker,11.923447092184649
llm_rule_small_hist_calibrated_n100,100,20270612,large_low_vehicle,11.708040496488744
llm_rule_small_hist_calibrated_n100,100,20270612,large_multi_vehicle,18.55867024470364
llm_rule_small_hist_calibrated_n100,100,20270612,multi_worker_multi_vehicle,9.755722130272805
llm_rule_small_hist_calibrated_n100,100,20270612,nonworker_other,10.92427336985666
llm_rule_small_hist_calibrated_n100,100,20270612,urban_nonworker,9.259838165166105
llm_rule_small_hist_calibrated_n100,100,20270612,worker_vehicle_household,9.615111878216846
llm_rule_small_hist_calibrated_n100,100,20270613,carless_nonworker,6.816911939864583
llm_rule_small_hist_calibrated_n100,100,20270613,large_low_vehicle,8.055007177959821
llm_rule_small_hist_calibrated_n100,100,20270613,large_multi_vehicle,9.28687204902988
llm_rule_small_hist_calibrated_n100,100,20270613,multi_worker_multi_vehicle,7.206656237140081
llm_rule_small_hist_calibrated_n100,100,20270613,nonworker_other,6.268382391447875
llm_rule_small_hist_calibrated_n100,100,20270613,urban_nonworker,6.634326742886877
llm_rule_small_hist_calibrated_n100,100,20270613,worker_vehicle_household,6.330162526784259
llm_rule_small_hist_calibrated_n100,100,20270614,carless_nonworker,4.139054678773744
llm_rule_small_hist_calibrated_n100,100,20270614,carless_worker,4.831036812743733
llm_rule_small_hist_calibrated_n100,100,20270614,large_low_vehicle,4.394703816689386
llm_rule_small_hist_calibrated_n100,100,20270614,large_multi_vehicle,9.562219284220571
llm_rule_small_hist_calibrated_n100,100,20270614,multi_worker_multi_vehicle,5.289360196942567
llm_rule_small_hist_calibrated_n100,100,20270614,nonworker_other,4.483305744827804
llm_rule_small_hist_calibrated_n100,100,20270614,urban_nonworker,4.3201572143813545
llm_rule_small_hist_calibrated_n100,100,20270614,worker_vehicle_household,3.940207633993444
llm_rule_small_hist_calibrated_n100,100,20270615,carless_nonworker,7.490080343847104
llm_rule_small_hist_calibrated_n100,100,20270615,large_low_vehicle,9.108481009216613
llm_rule_small_hist_calibrated_n100,100,20270615,large_multi_vehicle,11.731102661249404
llm_rule_small_hist_calibrated_n100,100,20270615,multi_worker_multi_vehicle,8.827478861559605
llm_rule_small_hist_calibrated_n100,100,20270615,nonworker_other,9.166264279124475
llm_rule_small_hist_calibrated_n100,100,20270615,urban_nonworker,7.517182515205832
