method,sample_size,seed,calibration_rows,event_alpha,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_prediction_mean,exact_rounded_accuracy,within_2_trips,within_3_trips,weighted_within_2_trips,weighted_within_3_trips
llm_rule_small_hist_calibrated_n250,250,20285623,250,1.0,2.6722445377912165,3.7560912912014617,0.1485020250190315,0.18317106395259353,3.980415707198987,0.12986190295198277,0.5093120486507031,0.6859242366653997,0.5076849590192565,0.6833524002666532
llm_rule_small_hist_calibrated_n250,250,20285624,250,1.0,2.9533013993373056,3.8953417942963666,0.9874709994968499,0.12148339020236387,4.819384681676807,0.10578994045356645,0.40440896997339415,0.6229570505511213,0.38976811185177573,0.6182763315082314
llm_rule_small_hist_calibrated_n250,250,20285625,250,1.0,2.6382648469124956,3.8058292816572172,-0.22932560588478967,0.16139501009996093,3.6025880762951665,0.13467629545166604,0.5046243506904853,0.6992271633092614,0.4983663893314746,0.7043802256790892
llm_rule_small_hist_calibrated_n250,250,20285626,250,1.0,2.695701704140018,3.7932463451934626,0.22501171518457247,0.1669310805246732,4.0569253973645285,0.12466742683390346,0.5090586595717724,0.6895983783098948,0.5060149982022152,0.6834133741498398
llm_rule_small_hist_calibrated_n250,250,20285627,250,1.0,2.9265724173030887,3.953502821460995,0.9470642839430582,0.09505342233829261,4.778977966123015,0.11503864183453694,0.45090586595717724,0.6368934498923097,0.4427413281326836,0.6318590767962252
llm_rule_small_hist_calibrated_n250,250,20285628,250,1.0,2.8979393177847617,3.87989724541492,0.6781890759423997,0.12843599931151983,4.510102758122355,0.09793487900671481,0.40757633346002786,0.628658304827062,0.40000873806021453,0.6262341280928955
llm_rule_small_hist_calibrated_n250,250,20285629,250,1.0,2.677215508568247,3.794098795485549,0.053869468701596215,0.16655660991320653,3.8857831508815526,0.12289370328138857,0.500570125427594,0.6866844039021918,0.5001094175223789,0.6896765621152016
llm_rule_small_hist_calibrated_n500,500,20310610,500,1.0,2.706847488033263,3.761736345794708,0.3434855817744827,0.18071398367211844,4.175399263954439,0.11896617255796275,0.4960091220068415,0.6813632332446472,0.4949870509235998,0.6796864160624713
llm_rule_small_hist_calibrated_n500,500,20310611,500,1.0,2.9853899961070254,4.005963313587773,1.0535097596180212,0.07087794068096864,4.885423441797977,0.10933738755859622,0.43506904852400863,0.6384137843658938,0.430781863529628,0.6291273152123498
llm_rule_small_hist_calibrated_n500,500,20310612,500,1.0,2.7743803207505415,3.798462009697014,0.5218021279406417,0.16463858762468897,4.3537158101205975,0.11668567084758646,0.4725706322057519,0.6594450779171418,0.4671217006209832,0.6570952897538638
llm_rule_small_hist_calibrated_n500,500,20310613,500,1.0,2.754831167200631,3.7949341154641636,0.4061220424691488,0.16618958280603435,4.238035724649105,0.11567211453186367,0.4691498796401875,0.6665399721272013,0.46249575224501877,0.6622061187419563
llm_rule_small_hist_calibrated_n500,500,20310614,500,1.0,2.7766861841144252,3.7978076236745926,0.44807267278949187,0.16492638923657243,4.279986354969449,0.10769035854554669,0.4628151526669201,0.6599518560750032,0.4573523925505078,0.6557940821859363
llm_rule_small_hist_calibrated_n500,500,20310615,500,1.0,2.71320266312012,3.7683144980442522,0.3314318241823261,0.1778461057190649,4.163345506362282,0.1206132015710123,0.48194602812618775,0.6775623970606867,0.47766614477096675,0.6726696359367093
llm_rule_small_hist_calibrated_n500,500,20310616,500,1.0,2.777093623663823,3.839763491081932,0.5554291887285125,0.1463737026892108,4.387342870908468,0.12226023058406182,0.4932218421386038,0.6731280881793995,0.48545362295879785,0.6662513652094733
llm_rule_small_hist_calibrated_n500,500,20310617,500,1.0,2.71812042970568,3.7904815288708824,0.3454160244773537,0.1681450502646381,4.17732970665731,0.12466742683390346,0.49816292917775246,0.6837704294944887,0.4975598825856647,0.6800058701476402
llm_rule_small_hist_calibrated_n500,500,20310618,500,1.0,2.8351410051558017,3.840544258134572,0.5395340170942524,0.14602651930137778,4.371447699274208,0.10110224249334854,0.43228176865577095,0.6447485113391613,0.4265151716730325,0.6434769516101553
llm_rule_small_hist_calibrated_n500,500,20310619,500,1.0,2.7813708092051663,3.8306146188135943,0.5813761669800428,0.1504366685484675,4.413289849159999,0.12314709236031927,0.4858735588496136,0.6596984669960725,0.48090318152311046,0.6552667505525508
llm_rule_small_hist_calibrated_n500,500,20310620,500,1.0,2.828889016988979,3.822273075679057,0.7263353853740191,0.15413265674716248,4.558249067553975,0.11845939440010135,0.4370961611554542,0.6412010642341315,0.4287727820916872,0.6366101379259366
llm_rule_small_hist_calibrated_n500,500,20310621,500,1.0,2.724750491529071,3.7989530508600042,0.2591497962300756,0.16442259317628838,4.091063478410032,0.11440516913721019,0.4824528062840492,0.6665399721272013,0.48004038965500195,0.6675288152336906
llm_rule_small_hist_calibrated_n500,500,20310622,500,1.0,2.8772851142882603,3.87732422050144,0.7752184855018204,0.12959160326165542,4.607132167681776,0.10857722032180413,0.443557582668187,0.6442417331812998,0.44200417219420496,0.6383181236258764
llm_rule_small_hist_calibrated_n500,500,20310623,500,1.0,2.7027891319070845,3.7880940439277597,0.2872788469332144,0.16919262993760564,4.119192529113171,0.1250475104522995,0.5025972380590397,0.6822500950209046,0.4981990636120319,0.677854266006924
llm_rule_small_hist_calibrated_n500,500,20310624,500,1.0,2.7620275580184845,3.788624111580714,0.49692174355771723,0.16896010407153517,4.328835425737673,0.11719244900544787,0.4659825161535538,0.6629925250221715,0.46107501267168804,0.6601034357159399
llm_rule_small_hist_calibrated_n500,500,20310625,500,1.0,2.641445451914249,3.781540560506407,-0.04269741619819759,0.17206477226286576,3.7892162659817585,0.13708349170150766,0.5278094514126441,0.7099961991638161,0.5323394259805574,0.7077051943617658
llm_rule_small_hist_calibrated_n500,500,20310626,500,1.0,2.666565422847504,3.776323518235245,0.0803885968596741,0.1743476479807169,3.9123022790396305,0.12783479032053718,0.49562903838844546,0.684910680349677,0.4951513922628081,0.6901429756868284
llm_rule_small_hist_calibrated_n500,500,20310627,500,1.0,2.7129147835999694,3.809582897170483,0.17573399640299292,0.15973999471494604,4.007647678582949,0.1294818193335867,0.5003167363486634,0.6851640694286076,0.5031381087746123,0.6866803248450605
llm_rule_small_hist_calibrated_n500,500,20310628,500,1.0,2.8459339590436197,3.8288326541230977,0.7314267377710305,0.15122690191084454,4.563340419950986,0.11301152920309135,0.44368427720765236,0.6431014823261118,0.43617119124552756,0.6366830878698281
llm_rule_small_hist_calibrated_n500,500,20310629,500,1.0,2.8607963986830853,3.9524082992718528,0.6384112683018567,0.09555441957888389,4.470324950481813,0.11377169643988344,0.48701380970480174,0.6577980489040922,0.4807224665922633,0.6528286685711596
llm_rule_small_hist_calibrated_n1000,1000,20360610,1000,1.0,2.7150301513824164,3.7741424341572016,0.32823993199771023,0.17530111351034772,4.160153614177666,0.12644115038641834,0.4900544786519701,0.671861142784746,0.48743588191668336,0.6720475002286455
llm_rule_small_hist_calibrated_n1000,1000,20360611,1000,1.0,2.8423721545481113,3.885692565479247,0.7351889455953744,0.12583038153312676,4.567102627775331,0.12403395413657671,0.47561130115292033,0.6589382997592804,0.4702735007839361,0.6517363763544409
llm_rule_small_hist_calibrated_n1000,1000,20360612,1000,1.0,2.7776067310906676,3.8867570727466396,0.46229905473511446,0.12535134858743624,4.29421273691507,0.11567211453186367,0.5180539718738122,0.6788293424553402,0.5168645862802567,0.6756458027133817
llm_rule_small_hist_calibrated_n1000,1000,20360613,1000,1.0,2.879774881221558,3.9047508974294463,0.8587029086084703,0.11723419357318088,4.690616590788426,0.11757253262384391,0.45470670214113773,0.6465222348916762,0.4441294591577031,0.6423893602629933
llm_rule_small_hist_calibrated_n1000,1000,20360614,1000,1.0,2.8885955613690726,3.8767308466105552,0.9121349364866471,0.12985799217709348,4.744048618666603,0.12378056505764602,0.4430508045103256,0.6471557075890029,0.44225846346655656,0.6390047142415648
llm_rule_small_hist_calibrated_n1000,1000,20360615,1000,1.0,2.7264347808628537,3.8013228096061638,0.3336781600632295,0.16337981405661695,4.1655918422431855,0.12720131762321044,0.49208159128341566,0.671861142784746,0.4871614131970137,0.6667535217176159
llm_rule_small_hist_calibrated_n1000,1000,20360616,1000,1.0,2.872830592571452,3.8732858631960307,0.8898709438523931,0.13140377547366444,4.72178462603235,0.11630558722919042,0.4549600912200684,0.6444951222602305,0.4516515875715948,0.6386157830594145
llm_rule_small_hist_calibrated_n1000,1000,20360617,1000,1.0,2.834152492064845,3.899287284303447,0.684109939331238,0.11970283584333619,4.516023621511194,0.12276700874192323,0.48321297352084125,0.664259470416825,0.4735815055762861,0.6572740124090223
llm_rule_small_hist_calibrated_n1000,1000,20360618,1000,1.0,2.729180270068739,3.8051100280443366,0.3924616885715983,0.1617119516275023,4.224375370751555,0.12441403775497276,0.49740276194096034,0.6700874192322311,0.4951027608353202,0.6664747960127618
llm_rule_small_hist_calibrated_n1000,1000,20360619,1000,1.0,2.742178642257332,3.781244260130004,0.48148380915347544,0.1721945119310443,4.313397491333432,0.12352717597871532,0.47725833016596986,0.6617255796275181,0.47037798232267136,0.6576034765881548
