year,package,table_name,column_name,column_index
2001,ascii,LDTPUB,ENDTRIP,46
2001,ascii,LDTPUB,INT_FLAG,47
2001,ascii,LDTPUB,ACCDIV,48
2001,ascii,LDTPUB,ACCREG,49
2001,ascii,LDTPUB,EGRDIV,50
2001,ascii,LDTPUB,EGRREG,51
2001,ascii,LDTPUB,ACCMSA,52
2001,ascii,LDTPUB,EGRMSA,53
2001,ascii,LDTPUB,WEEKEND,54
2001,ascii,LDTPUB,TPMSDTRP,55
2001,ascii,LDTPUB,TPDRVFLG,56
2001,ascii,LDTPUB,NUMNHHM,57
2001,ascii,LDTPUB,EGRST,58
2001,ascii,LDTPUB,NTIMES,59
2001,ascii,LDTPUB,FARREG,60
2001,ascii,LDTPUB,FARDIV,61
2001,ascii,LDTPUB,FARMSA,62
2001,ascii,LDTPUB,FARST,63
2001,ascii,LDTPUB,ACCST,64
2001,ascii,LDTPUB,IMPTNTIM,65
2001,ascii,LDTPUB,IMPTLEDT,66
2001,ascii,LDTPUB,IMPTREDT,67
2001,ascii,LDTPUB,EDITRECU,68
2001,ascii,LDTPUB,NTSAWAY,69
2001,ascii,LDTPUB,TPRECURR,70
2001,ascii,LDTPUB,HH_ONTP,71
2001,ascii,LDTPUB,TPNUMTRP,72
2001,ascii,LDTPUB,STPS_FRM,73
2001,ascii,LDTPUB,STPS_TO,74
2001,ascii,LDTPUB,RTETOT,75
2001,ascii,LDTPUB,GCDTOT,76
2001,ascii,LDTPUB,WTPTPFIN,77
2001,ascii,LDTPUB,EXPFLPTP,78
2001,ascii,LDTPUB,IFARCTRY,79
2001,ascii,LDTPUB,MSACAT,80
2001,ascii,LDTPUB,RAIL,81
2001,ascii,LDTPUB,CDIVMSAR,82
2001,ascii,LDTPUB,URBRUR,83
2001,ascii,LDTPUB,HBHUR,84
2001,ascii,LDTPUB,HTHUR,85
2001,ascii,LDTPUB,IMPTHOWN,86
2001,ascii,LDTPUB,IMPTHTYP,87
2001,ascii,LDTPUB,LIF_CYC,88
2001,ascii,LDTPUB,HHR_HISP,89
2001,ascii,LDTPUB,HOMEOWN,90
2001,ascii,LDTPUB,HOMETYPE,91
2001,ascii,LDTPUB,HHR_EDUC,92
2001,ascii,LDTPUB,HHINCTTL,93
2001,ascii,LDTPUB,RATIO16W,94
2001,ascii,LDTPUB,RATIOWV,95
2001,ascii,LDTPUB,LANG,96
2001,ascii,LDTPUB,TDAYDATE,97
2001,ascii,LDTPUB,HHRESP,98
2001,ascii,LDTPUB,HHFAMINC,99
2001,ascii,LDTPUB,HHR_RACE,100
2001,ascii,LDTPUB,NUMADLT,101
2001,ascii,LDTPUB,HHSIZE,102
2001,ascii,LDTPUB,HHVEHCNT,103
2001,ascii,LDTPUB,URBAN,104
2001,ascii,LDTPUB,MSASIZE,105
2001,ascii,LDTPUB,CENSUS_R,106
2001,ascii,LDTPUB,CENSUS_D,107
2001,ascii,LDTPUB,HHR_WRKR,108
2001,ascii,LDTPUB,WRKCOUNT,109
2001,ascii,LDTPUB,DRVRCNT,110
2001,ascii,LDTPUB,HHC_MSA,111
2001,ascii,LDTPUB,HTPPOPDN,112
2001,ascii,LDTPUB,HTHRESDN,113
2001,ascii,LDTPUB,HBPPOPDN,114
2001,ascii,LDTPUB,HBHRESDN,115
2001,ascii,LDTPUB,HBHTNRNT,116
2001,ascii,LDTPUB,HTEEMPDN,117
2001,ascii,LDTPUB,HTHTNRNT,118
