domain,column_name,year_count,years
person,CENSUS_D,4,2001;2009;2017;2022
person,CENSUS_R,4,2001;2009;2017;2022
person,CNTTDTR,4,2001;2009;2017;2022
person,CNTTPTR,1,2001
person,CNTTPUNQ,1,2001
person,COMMDRVR,1,2001
person,CONDNIGH,4,2001;2009;2017;2022
person,CONDNONE,1,2022
person,CONDPUB,4,2001;2009;2017;2022
person,CONDRF,1,2022
person,CONDRIDE,4,2001;2009;2017;2022
person,CONDRIVE,4,2001;2009;2017;2022
person,CONDSHARE,1,2022
person,CONDSPEC,4,2001;2009;2017;2022
person,CONDTAX,2,2009;2017
person,CONDTRAV,4,2001;2009;2017;2022
person,COV1_OHD,1,2022
person,COV1_PT,1,2022
person,COV1_SCH,1,2022
person,COV1_WK,1,2022
person,COV2_OHD,1,2022
person,COV2_PT,1,2022
person,COV2_SCH,1,2022
person,COV2_WK,1,2022
person,DELIVER,3,2009;2017;2022
person,DELIV_FOOD,1,2022
person,DELIV_GOOD,1,2022
person,DELIV_GROC,1,2022
person,DELIV_PERS,1,2022
person,DIARY,2,2009;2017
person,DIARYCMP,1,2001
person,DIFFDATE,1,2001
person,DISTBLOC,1,2001
person,DISTTOSC,1,2009
person,DISTTOSC17,1,2017
person,DISTTOWK,2,2001;2009
person,DISTTOWK17,1,2017
person,DRIVER,4,2001;2009;2017;2022
person,DRIVINGOCCUPATION,1,2022
person,DRIVINGVEHICLE,1,2022
person,DRVRCNT,4,2001;2009;2017;2022
person,DTACDT,2,2001;2009
person,DTCONJ,2,2001;2009
person,DTCOST,1,2009
person,DTDISTRC,1,2001
person,DTDRUNK,1,2001
person,DTGAS,1,2001
person,DTNOWALK,1,2001
person,DTPVPOT,1,2001
person,DTRAGE,1,2009
person,DTRAN,1,2009
person,DTRRAGE,1,2001
person,DTSPEED,1,2001
person,DTTIEUP,1,2001
person,DTTRUCKS,1,2001
person,DTWALK,1,2009
person,EDUC,4,2001;2009;2017;2022
person,EMPLOYMENT2,1,2022
person,EMPPASS,1,2022
person,ENDTRAV,1,2001
person,ESCOOTERUSED,1,2022
person,EVERDROV,1,2009
person,EXPFLLPR,1,2001
person,EXPFLPRN,1,2001
person,FLAG100,1,2009
person,FLEXTIME,2,2009;2017
person,FLGPRDRV,1,2001
person,FMSCSIZE,1,2009
person,FRSTHM,3,2001;2009;2022
person,FRSTHM17,1,2017
person,FXDWKPL,1,2009
person,GCDWORK,4,2001;2009;2017;2022
person,GRADE,1,2009
person,GT1JBLWK,3,2001;2009;2017
person,HBHRESDN,1,2001
person,HBHTNRNT,4,2001;2009;2017;2022
person,HBHUR,4,2001;2009;2017;2022
person,HBPPOPDN,4,2001;2009;2017;2022
person,HBRESDN,3,2009;2017;2022
person,HEALTH,1,2017
person,HHC_MSA,2,2001;2009
person,HHFAMINC,4,2001;2009;2017;2022
person,HHFAMINC_IMP,1,2022
person,HHINCTTL,1,2001
person,HHRESP,3,2001;2009;2017
person,HHR_DRVR,1,2001
person,HHR_EDUC,1,2001
person,HHR_HISP,1,2001
person,HHR_RACE,1,2001
person,HHR_WRKR,1,2001
person,HHSIZE,4,2001;2009;2017;2022
person,HHSTATE,3,2001;2009;2017
person,HHSTFIPS,3,2001;2009;2017
person,HHVEHCNT,4,2001;2009;2017;2022
person,HH_CBSA,2,2009;2017
person,HH_HISP,3,2009;2017;2022
person,HH_RACE,3,2009;2017;2022
person,HOMEOWN,4,2001;2009;2017;2022
person,HOMETYPE,2,2001;2009
person,HOUSEID,4,2001;2009;2017;2022
person,HTEEMPDN,4,2001;2009;2017;2022
person,HTHRESDN,1,2001
person,HTHTNRNT,4,2001;2009;2017;2022
person,HTHUR,1,2001
person,HTPPOPDN,4,2001;2009;2017;2022
person,HTRESDN,3,2009;2017;2022
person,IMPTAGE,1,2001
person,IMPTHOWN,1,2001
person,IMPTHTYP,1,2001
person,IMPTRACE,1,2001
person,IMPTSEX,1,2001
person,INDVINC,1,2001
person,ISSUE,1,2009
person,LANG,1,2001
person,LAST30_BIKE,1,2022
person,LAST30_BKSHR,1,2022
person,LAST30_ESCT,1,2022
person,LAST30_MTRC,1,2022
person,LAST30_PT,1,2022
person,LAST30_RDSHR,1,2022
person,LAST30_TAXI,1,2022
person,LAST30_WALK,1,2022
person,LASTRPMM,1,2001
person,LASTRPYY,1,2001
person,LIF_CYC,4,2001;2009;2017;2022
person,LPACT,1,2017
person,LSTTRDAY,2,2001;2009
person,LSTTRDAY17,1,2017
person,LSTTRDT,1,2001
person,MCTRANSIT,1,2022
person,MCUSED,2,2009;2017
person,MEDCOND,4,2001;2009;2017;2022
person,MEDCOND6,4,2001;2009;2017;2022
person,MOROFTEN,1,2009
person,MSACAT,4,2001;2009;2017;2022
person,MSAPOP,1,2001
person,MSASIZE,4,2001;2009;2017;2022
person,NBIKETRP,3,2001;2009;2017
person,NOCONG,1,2017
person,NUMADLT,4,2001;2009;2017;2022
person,NWALKTRP,3,2001;2009;2017
person,OCCAT,3,2001;2009;2017
person,OUTCNTRY,3,2001;2009;2017
person,OUTOFTWN,4,2001;2009;2017;2022
person,PARK,1,2022
person,PARKHOME,1,2022
person,PARKHOMEAMT,1,2022
person,PARKHOMEAMT_PAMOUNT,1,2022
person,PARKHOMEAMT_PAYTYPE,1,2022
person,PAYPROF,4,2001;2009;2017;2022
person,PERSONID,4,2001;2009;2017;2022
person,PHYACT,1,2017
person,PRCASEID,1,2001
person,PRMACT,4,2001;2009;2017;2022
person,PRMDRVR1,1,2001
person,PRMDRVR2,1,2001
person,PRMDRVR3,1,2001
person,PROXCAT,1,2001
person,PROXY,4,2001;2009;2017;2022
person,PTUSED,4,2001;2009;2017;2022
person,PUBTIME,1,2017
person,PURCHASE,1,2009
person,QACSLAN1,1,2022
person,QACSLAN3,1,2022
person,RAIL,4,2001;2009;2017;2022
person,RET_AMZ,1,2022
person,RET_HOME,1,2022
person,RET_PUF,1,2022
person,RET_STORE,1,2022
person,RIDESHARE,1,2017
person,RIDESHARE22,1,2022
person,R_AGE,4,2001;2009;2017;2022
person,R_AGEWGT,1,2001
person,R_AGE_IMP,1,2017
person,R_HISP,2,2017;2022
person,R_RACE,2,2017;2022
person,R_RACE_IMP,1,2022
person,R_RELAT,4,2001;2009;2017;2022
person,R_SEX,4,2001;2009;2017;2022
person,R_SEX_IMP,2,2017;2022
person,SAMEPLC,4,2001;2009;2017;2022
person,SBHTNRNT,1,2022
person,SBHUR,1,2022
person,SBPPOPDN,1,2022
person,SBRESDN,1,2022
person,SCHCARE,1,2009
person,SCHCRIM,1,2009
person,SCHDIST,1,2009
person,SCHOOL1,1,2022
person,SCHOOL1C,1,2022
person,SCHSPD,1,2009
person,SCHTRAF,1,2009
person,SCHTRN1,3,2009;2017;2022
person,SCHTRN2,2,2009;2017
person,SCHTYP,3,2009;2017;2022
person,SCHWTHR,1,2009
person,SELF_EMP,1,2009
person,SFWGT,1,2009
person,SMPLAREA,1,2001
person,SMPLFIRM,1,2001
person,SMPLSRCE,2,2001;2017
person,STEEMPDN,1,2022
person,STHTNRNT,1,2022
person,STPPOPDN,1,2022
person,STRATUMID,1,2022
person,STRESDN,1,2022
person,STUDE,1,2022
person,TAXISERVICE,1,2022
person,TDAYDATE,4,2001;2009;2017;2022
person,TDBOA911,1,2001
person,TIMETOSC,1,2009
person,TIMETOWK,3,2001;2009;2017
person,TOSCSIZE,1,2009
person,TRAVDAY,4,2001;2009;2017;2022
person,TRNPASS,1,2022
person,URBAN,4,2001;2009;2017;2022
person,URBANSIZE,3,2009;2017;2022
person,URBRUR,4,2001;2009;2017;2022
person,USAGE1,1,2022
person,USAGE2_1,1,2022
person,USAGE2_10,1,2022
person,USAGE2_2,1,2022
person,USAGE2_3,1,2022
person,USAGE2_4,1,2022
person,USAGE2_5,1,2022
person,USAGE2_6,1,2022
person,USAGE2_7,1,2022
person,USAGE2_8,1,2022
person,USAGE2_9,1,2022
person,USEINTST,1,2009
person,USEPUBTR,4,2001;2009;2017;2022
person,USULDRV,1,2001
person,VARSTRAT,1,2009
person,VPACT,1,2017
person,WALK4EX,1,2017
person,WALKTRANSIT,1,2022
person,WALK_DEF,1,2017
person,WALK_GKQ,1,2017
person,WBHTNRNT,1,2022
person,WBHUR,1,2022
person,WBPPOPDN,1,2022
person,WBRESDN,1,2022
person,WEBACC,1,2001
person,WEBHOME,1,2001
person,WEBOTHER,1,2001
person,WEBUSE,2,2001;2009
person,WEBWHER,1,2001
person,WEBWORK,1,2001
person,WHERBORN,1,2001
person,WHOPROXY,2,2017;2022
person,WKFMHM22,1,2022
person,WKFMHM2M,1,2001
person,WKFMHMXX,3,2001;2009;2017
person,WKFTPT,3,2001;2009;2017
person,WKRMHM,2,2009;2017
person,WKSTFIPS,3,2001;2009;2017
person,WORKER,4,2001;2009;2017;2022
person,WORKGEO,1,2001
person,WORKLOC,1,2001
person,WORKSTAT,1,2001
person,WRKCOUNT,4,2001;2009;2017;2022
person,WRKDRIVE,1,2001
person,WRKLOC,1,2022
person,WRKTIME,2,2009;2017
person,WRKTRANS,4,2001;2009;2017;2022
person,WRKTRPS,1,2001
person,WRK_HOME,1,2017
person,WTEEMPDN,1,2022
person,WTHTNRNT,1,2022
person,WTPERFIN,4,2001;2009;2017;2022
person,WTPERFIN2D,1,2022
person,WTPERFIN5D,1,2022
person,WTPPOPDN,1,2022
person,WTPRNTL,1,2001
person,WTRESDN,1,2022
person,W_CANE,2,2017;2022
person,W_CHAIR,2,2017;2022
person,W_CRUTCH,1,2017
person,W_DOG,1,2017
person,W_MTRCHR,1,2017
person,W_NONE,2,2017;2022
person,W_SCCH,1,2022
person,W_SCOOTR,1,2017
person,W_VISIMP,1,2022
person,W_WHCANE,1,2017
person,W_WKCR,1,2022
person,W_WLKR,1,2017
person,YEARMILE,3,2001;2009;2017
person,YRMLCAP,2,2001;2009
person,YRMLCAT,1,2001
person,YRTOUS,3,2001;2009;2017
trip,AWAYHOME,2,2001;2009
trip,BEGTRAV,1,2001
trip,CDIVMSAR,4,2001;2009;2017;2022
trip,CENSUS_D,4,2001;2009;2017;2022
trip,CENSUS_R,4,2001;2009;2017;2022
trip,DBHTNRNT,2,2017;2022
trip,DBHUR,2,2017;2022
trip,DBPPOPDN,2,2017;2022
trip,DBRESDN,2,2017;2022
trip,DRIVER,4,2001;2009;2017;2022
trip,DROP_PRK,2,2009;2017
trip,DRVRCNT,4,2001;2009;2017;2022
trip,DRVR_FLG,4,2001;2009;2017;2022
trip,DTEEMPDN,2,2017;2022
trip,DTHTNRNT,2,2017;2022
trip,DTPPOPDN,2,2017;2022
trip,DTRESDN,2,2017;2022
trip,DWELTIME,4,2001;2009;2017;2022
trip,EDITENTM,1,2001
trip,EDITMILE,1,2001
trip,EDITMIN,1,2001
trip,EDITMODE,1,2001
trip,EDITPURP,1,2001
trip,EDITSTTM,1,2001
trip,EDUC,4,2001;2009;2017;2022
trip,ENDHOUR,1,2001
trip,ENDMIN,1,2001
trip,ENDTIME,4,2001;2009;2017;2022
trip,ENDTRAV,1,2001
trip,EXPFLLTD,1,2001
trip,EXPFLTDN,1,2001
trip,FLAG100,1,2009
trip,FLGNXTDY,1,2001
trip,FRSTHM,2,2009;2022
trip,GASPRICE,3,2009;2017;2022
trip,HBHRESDN,1,2001
trip,HBHTNRNT,2,2001;2009
trip,HBHUR,2,2001;2009
trip,HBPPOPDN,2,2001;2009
trip,HBRESDN,1,2009
trip,HHACCCNT,1,2022
trip,HHC_MSA,2,2001;2009
trip,HHFAMINC,4,2001;2009;2017;2022
trip,HHFAMINC_IMP,1,2022
trip,HHINCTTL,1,2001
trip,HHMEMDRV,4,2001;2009;2017;2022
trip,HHRESP,3,2001;2009;2017
trip,HHR_DRVR,1,2001
trip,HHR_EDUC,1,2001
trip,HHR_HISP,1,2001
trip,HHR_RACE,1,2001
trip,HHR_WRKR,1,2001
trip,HHSIZE,4,2001;2009;2017;2022
trip,HHSTATE,3,2001;2009;2017
trip,HHSTFIPS,3,2001;2009;2017
trip,HHVEHCNT,4,2001;2009;2017;2022
trip,HH_CBSA,2,2009;2017
trip,HH_HISP,3,2009;2017;2022
trip,HH_ONTD,3,2001;2009;2017
trip,HH_RACE,3,2009;2017;2022
trip,HOMEOWN,4,2001;2009;2017;2022
trip,HOMETYPE,2,2001;2009
trip,HOUSEID,4,2001;2009;2017;2022
trip,HTEEMPDN,2,2001;2009
trip,HTHRESDN,1,2001
trip,HTHTNRNT,2,2001;2009
trip,HTHUR,1,2001
trip,HTPPOPDN,2,2001;2009
trip,HTRESDN,1,2009
trip,IMPTAGE,1,2001
trip,IMPTENTM,1,2001
trip,IMPTHOWN,1,2001
trip,IMPTHTYP,1,2001
trip,IMPTMILE,1,2001
trip,IMPTMIN,1,2001
trip,IMPTRACE,1,2001
trip,IMPTSEX,1,2001
trip,IMPTSTTM,1,2001
trip,IMPTTPUB,1,2001
trip,IMPTTRIP,1,2001
trip,INTSTATE,1,2009
trip,LANG,1,2001
trip,LIF_CYC,4,2001;2009;2017;2022
trip,LOOP_TRIP,2,2017;2022
trip,MSACAT,4,2001;2009;2017;2022
trip,MSAPOP,1,2001
trip,MSASIZE,4,2001;2009;2017;2022
trip,NONHHCNT,4,2001;2009;2017;2022
trip,NUMADLT,4,2001;2009;2017;2022
trip,NUMONTRP,4,2001;2009;2017;2022
trip,NUMTRANS,1,2017
trip,OBHTNRNT,2,2017;2022
trip,OBHUR,2,2017;2022
trip,OBPPOPDN,2,2017;2022
trip,OBRESDN,2,2017;2022
trip,OCCAT,1,2001
trip,ONTD_P1,4,2001;2009;2017;2022
trip,ONTD_P10,4,2001;2009;2017;2022
trip,ONTD_P11,3,2001;2009;2017
trip,ONTD_P12,3,2001;2009;2017
trip,ONTD_P13,3,2001;2009;2017
trip,ONTD_P14,2,2001;2009
trip,ONTD_P15,1,2009
trip,ONTD_P2,4,2001;2009;2017;2022
trip,ONTD_P3,4,2001;2009;2017;2022
trip,ONTD_P4,4,2001;2009;2017;2022
trip,ONTD_P5,4,2001;2009;2017;2022
trip,ONTD_P6,4,2001;2009;2017;2022
trip,ONTD_P7,4,2001;2009;2017;2022
trip,ONTD_P8,4,2001;2009;2017;2022
trip,ONTD_P9,4,2001;2009;2017;2022
trip,OTEEMPDN,2,2017;2022
trip,OTHTNRNT,2,2017;2022
trip,OTPPOPDN,2,2017;2022
trip,OTRESDN,2,2017;2022
trip,OUTOFTWN,2,2001;2009
