method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device,calibration_label
residual_llm_only,42,0.2,1579,6314,2.767707117324318,3.892089104135128,-0.2152253456383065,0.0998564497761264,2.852539444961862,4.02325108797039,0.2107212663996194,0.0867883685964232,3.873728681034857,4.084449947434477,cuda,20%
residual_tabular_only,42,0.2,1579,6314,2.589394908654452,3.696788195006679,-0.0696272162232627,0.1879264548424001,2.65150153242004,3.787605204934612,0.2025428223426615,0.1906309949817488,3.873728681034857,4.076271503377519,cuda,20%
residual_tabular_plus_llm,42,0.2,1579,6314,2.5738209971227635,3.679714527527649,-0.0598710164035994,0.1954102786004473,2.6372837953688104,3.7625433326854942,0.1986212448956116,0.2013064444026969,3.873728681034857,4.072349925930468,cuda,20%
historical_xgboost,43,0.2,1579,6314,3.992945289702441,4.918186386846882,3.175944852421168,-0.4677823384121831,4.3354078448646245,5.30441762399348,3.620739938038256,-0.633646137029682,3.8317578200808775,7.452497758119133,cuda,20%
bias_shift_calibration,43,0.2,1579,6314,2.666178478978764,3.752585142827875,-0.3174634231901999,0.1454985570849797,2.7224165767054203,3.8560190746047134,0.1368503598113497,0.1367016345871557,3.8317578200808775,3.968608179892228,cuda,20%
residual_llm_only,43,0.2,1579,6314,2.8204736964288,3.949713964660757,-0.0905479933402188,0.0533640754127902,2.896843728642369,4.065015526006546,0.3556337698974218,0.0405839292709874,3.8317578200808775,4.187391589978299,cuda,20%
residual_tabular_only,43,0.2,1579,6314,2.550272528170633,3.656886550826557,-0.0713454046731211,0.1885258954873367,2.573896337350702,3.692002696307359,0.1738757493388129,0.2085807847061234,3.8317578200808775,4.0056335694196905,cuda,20%
residual_tabular_plus_llm,43,0.2,1579,6314,2.5826496199825955,3.7029406550974335,-0.0242607003153975,0.1679581045689044,2.6198368376404533,3.7711739856013113,0.2523684570815907,0.1742744743607339,3.8317578200808775,4.0841262771624685,cuda,20%
historical_xgboost,44,0.2,1579,6314,4.033330466122728,4.961366878684968,3.2020133162435944,-0.494206294200173,4.350288821761983,5.325392414199801,3.62475199039791,-0.6977929766051227,3.811170070706415,7.435922061104326,cuda,20%
bias_shift_calibration,44,0.2,1579,6314,2.6761206003042277,3.783898250938768,-0.2776032899254143,0.1308659294907348,2.743553375325879,3.8813488717468263,0.1559594892629039,0.0981239305704697,3.811170070706415,3.967129559969319,cuda,20%
residual_llm_only,44,0.2,1579,6314,2.8316142053629805,3.9982691842811424,-0.1276074665084382,0.0295974370586623,2.9369942720930524,4.136054162473314,0.2917715294641963,-0.0241272845053306,3.811170070706415,4.102941600170611,cuda,20%
residual_tabular_only,44,0.2,1579,6314,2.587144308068309,3.7054577153190262,0.0449669434180696,0.166526878699757,2.634561259979018,3.765080134840338,0.2897254945807062,0.1513473921717831,3.811170070706415,4.1008955652871215,cuda,20%
residual_tabular_plus_llm,44,0.2,1579,6314,2.612624731364414,3.738518793278455,0.0874761558613673,0.151587591410336,2.674331301337012,3.820439284796196,0.3414823700214581,0.126207915111939,3.811170070706415,4.152652440727873,cuda,20%
historical_xgboost,45,0.2,1579,6314,3.993313513188789,4.923316939204635,3.164670262942406,-0.4434713055515418,4.312539006618416,5.288120434027314,3.596689739208136,-0.6273362247475773,3.8633997503636026,7.460089489571739,cuda,20%
bias_shift_calibration,45,0.2,1579,6314,2.671762291374136,3.7763916406956897,-0.4159550434739892,0.1507283607260588,2.7225808637440165,3.8513079224715807,0.0259367033441368,0.1368404036631655,3.8633997503636026,3.88933645370774,cuda,20%
residual_llm_only,45,0.2,1579,6314,2.777994969203044,3.915646425250148,-0.224190194507849,0.0869396070765142,2.864628484922876,4.033792198975058,0.1854978549749458,0.0531053545449701,3.8633997503636026,4.048897605338548,cuda,20%
residual_tabular_only,45,0.2,1579,6314,2.560990962247362,3.702591467819957,-0.0975256519563824,0.18359781530781,2.60331395580683,3.748079064634338,0.1046428088551458,0.1824918246391199,3.8633997503636026,3.968042559218748,cuda,20%
residual_tabular_plus_llm,45,0.2,1579,6314,2.569276784260816,3.698413685974308,-0.077091599722848,0.185439134293566,2.6141799268521426,3.7496357916898058,0.1160815549860431,0.1818125959669241,3.8633997503636026,3.979481305349646,cuda,20%
historical_xgboost,46,0.2,1579,6314,4.0240372529995,4.955139863267348,3.1846756456318936,-0.4690880595763442,4.376449871421671,5.350159960022306,3.6617438714158,-0.6814948374838055,3.798342965766519,7.460086837182319,cuda,20%
bias_shift_calibration,46,0.2,1579,6314,2.696710682183112,3.788272601087197,-0.1562065327584445,0.1413455201683433,2.780721932464481,3.897514284242181,0.3293043108130035,0.1076454637587557,3.798342965766519,4.1276472765795225,cuda,20%
residual_llm_only,46,0.2,1579,6314,2.8664045180177853,4.003041329316773,-0.0823804277916063,0.0412262343257495,2.9727566008567003,4.144021951683544,0.4120397904157424,-0.0088023823918808,3.798342965766519,4.210382756182262,cuda,20%
residual_tabular_only,46,0.2,1579,6314,2.617841191408111,3.703805701172326,0.0569092611893468,0.1792093776676085,2.7143828057257635,3.790228523041054,0.4060125413574032,0.1560964851892494,3.798342965766519,4.204355507123922,cuda,20%
residual_tabular_plus_llm,46,0.2,1579,6314,2.6205094823891657,3.712694566913164,0.0871597679876473,0.1752649739672687,2.703323529604655,3.783089556895016,0.4376577077123804,0.159272507354777,3.798342965766519,4.236000673478899,cuda,20%
