subgroup_column,subgroup_value,rows,weight_sum,abs_weighted_bias_cohort_trip_suppression_a1,abs_weighted_bias_global_trip_suppression_a1,abs_weighted_bias_global_trip_suppression_a1p25,abs_weighted_bias_historical_xgboost,abs_weighted_bias_primary_gated_adapter,weighted_bias_cohort_trip_suppression_a1,weighted_bias_global_trip_suppression_a1,weighted_bias_global_trip_suppression_a1p25,weighted_bias_historical_xgboost,weighted_bias_primary_gated_adapter,weighted_mae_cohort_trip_suppression_a1,weighted_mae_global_trip_suppression_a1,weighted_mae_global_trip_suppression_a1p25,weighted_mae_historical_xgboost,weighted_mae_primary_gated_adapter,weighted_rmse_cohort_trip_suppression_a1,weighted_rmse_global_trip_suppression_a1,weighted_rmse_global_trip_suppression_a1p25,weighted_rmse_historical_xgboost,weighted_rmse_primary_gated_adapter,primary_vs_history_mae_delta,primary_vs_global_a1_mae_delta,primary_vs_global_a1p25_mae_delta,cohort_a1_vs_global_a1_mae_delta,primary_vs_global_a1_abs_bias_delta,primary_beats_global_a1,primary_beats_global_a1p25
WRKCOUNT,2,2026,32224592.582005654,0.06570903880548655,0.5028112579088281,1.6248547624975307,3.9853627699294862,0.5315509606195533,0.06570903880548655,-0.5028112579088281,-1.6248547624975307,3.9853627699294862,-0.5315509606195533,3.165721413480187,3.0893262812231206,3.218428775538756,5.029577024538831,3.0827859464820637,4.375156545073408,4.396194545057763,4.6943215429874225,6.007224972846342,4.418585517738671,1.9467910780567674,0.0065403347410568635,0.13564282905669245,-0.0763951322570664,-0.028739702710725235,True,True
HHFAMINC,7,1120,16651924.971661704,0.18832390631787202,0.6259741097530146,1.5150678995609557,2.9304010429260794,0.6289561605541402,-0.18832390631787202,-0.6259741097530146,-1.5150678995609557,2.9304010429260794,-0.6289561605541402,2.6430175872104766,2.6044566871298493,2.7477515493915887,3.9373581843590255,2.603130948630247,3.789747213308929,3.8442847522115104,4.129138029334119,4.914411696913703,3.838365105961481,1.3342272357287785,0.0013257384996023802,0.14462060076134176,-0.03856090008062729,-0.0029820508011255686,True,True
HHFAMINC,10,593,9895359.59758039,0.0516043321888117,0.6295775974063018,1.669984446501039,3.532049748150149,0.6122787241917323,0.0516043321888117,-0.6295775974063018,-1.669984446501039,3.532049748150149,-0.6122787241917323,3.09637329979376,2.986713311935025,3.1047413020834793,4.675380274305842,2.9951329693793713,4.284005846918903,4.248827897823922,4.542783136075702,5.743009513606296,4.254555962586669,1.6802473049264703,-0.008419657444346473,0.10960833270410797,-0.10965998785873499,0.017298873214569466,False,True
HHFAMINC,9,611,8490208.346397549,0.035793281781199573,0.7343650715026324,1.7577758360815199,3.359278017194345,0.7347123118598886,-0.035793281781199573,-0.7343650715026324,-1.7577758360815199,3.359278017194345,-0.7347123118598886,2.9170465178877505,2.841555425631406,3.0451311444236575,4.381698529696394,2.8528739928168996,3.963377220212374,4.057768148162469,4.4248124539387765,5.302637768385783,4.0627093564495915,1.5288245368794948,-0.0113185671854934,0.19225715160675794,-0.07549109225634432,-0.0003472403572561955,False,True
HHFAMINC,8,890,12256706.34625848,0.1461575336393885,0.34880100813381004,1.2997135312649286,3.454849094052443,0.3648449986952827,0.1461575336393885,-0.34880100813381004,-1.2997135312649286,3.454849094052443,-0.3648449986952827,2.826221127871085,2.7544254519060245,2.83537746479418,4.555602196706703,2.7689977088255127,4.135869418794292,4.1912577476632205,4.430779021602819,5.515788232442065,4.203814127869534,1.7866044878811902,-0.014572256919488158,0.06637975596866719,-0.07179567596506065,-0.016043990561472654,False,True
HHFAMINC,11,806,12741223.017888635,0.14247510792271253,0.6852329137704813,1.7355738239336225,3.516130758751933,0.5514760804795884,0.14247510792271253,-0.6852329137704813,-1.7355738239336225,3.516130758751933,-0.5514760804795884,3.1817884663933556,3.0629183992482343,3.18584619904094,4.6388747368674474,3.0856471819442577,4.298784854068008,4.319004661885798,4.653850761294577,5.623895902347544,4.3396489104392595,1.5532275549231898,-0.02272878269602341,0.10019901709668222,-0.11887006714512127,0.13375683329089294,False,True
HHVEHCNT,4,360,6251993.794303581,0.370687165784614,0.6430668749507445,1.8558836122261773,4.208200087268573,0.5662521382855887,0.370687165784614,-0.6430668749507445,-1.8558836122261773,4.208200087268573,-0.5662521382855887,3.294001121528472,3.1295925860377554,3.3237067251401955,5.217972223759558,3.15793323015406,4.486559761628605,4.462908483435968,4.8192829036317875,6.292994877875832,4.4723079313825265,2.060038993605498,-0.02834064411630477,0.16577349498613536,-0.16440853549071655,0.07681473666515581,False,True
WRKCOUNT,3,266,5430724.960110581,0.05929009787534396,0.9736927674006265,2.391648475491914,4.698129954651637,0.9339439196931458,0.05929009787534396,-0.9736927674006265,-2.391648475491914,4.698129954651637,-0.9339439196931458,3.8148661704529125,3.7479024207861755,3.988718631758865,6.094685476766037,3.7974346890334227,5.245726301059601,5.272204386335676,5.7254432916931135,7.119696420827268,5.315734627856559,2.297250787732614,-0.04953226824724721,0.19128394272544247,-0.06696374966673702,0.03974884770748066,False,True
HHFAMINC,-7,93,1600742.7281241086,1.127890215921272,0.7052075622187784,0.09542344491494219,3.9077316018867134,0.7823914092548686,1.127890215921272,0.7052075622187784,-0.09542344491494219,3.9077316018867134,0.7823914092548686,2.314321660951804,2.172548579093972,2.00724082567429,4.190036292808106,2.249732423180723,2.893825524557619,2.7059808933201936,2.6268789985252186,4.916311054046992,2.825426390989851,1.9403038696273827,-0.07718384408675139,-0.242491597506433,-0.14177308185783222,-0.07718384703609016,False,False
HHVEHCNT,5,122,1810760.2076290352,0.4969820660272778,0.6127559967661147,1.796793807425023,4.123395240142873,0.5115965120711025,0.4969820660272778,-0.6127559967661147,-1.796793807425023,4.123395240142873,-0.5115965120711025,3.7555702968465305,3.6056473547436716,3.7593050044146086,5.3879673557152445,3.6855948993601877,4.970515914176104,4.8995426622633405,5.132810263144994,6.841340435199427,4.945015631486033,1.7023724563550569,-0.0799475446165161,0.07371010505442088,-0.14992294210285895,0.10115948469501224,False,True
