method,rows,weight_sum,weighted_mae,weighted_rmse,weighted_bias,abs_weighted_bias,weighted_target_mean,weighted_prediction_mean,subgroup_column,subgroup_value
global_trip_suppression_a1p25,611,8490208.346397549,3.0451311444236575,4.4248124539387765,-1.7577758360815199,1.7577758360815199,5.383431903888491,3.625656067806972,HHFAMINC,9
cohort_trip_suppression_a1,611,8490208.346397549,2.9170465178877505,3.963377220212374,-0.035793281781199573,0.035793281781199573,5.383431903888491,5.347638622107293,HHFAMINC,9
primary_gated_adapter,611,8490208.346397549,2.8528739928168996,4.0627093564495915,-0.7347123118598886,0.7347123118598886,5.383431903888491,4.648719592028603,HHFAMINC,9
historical_xgboost,593,9895359.59758039,4.675380274305842,5.743009513606296,3.532049748150149,3.532049748150149,5.355852796450498,8.887902544600646,HHFAMINC,10
global_trip_suppression_a1,593,9895359.59758039,2.986713311935025,4.248827897823922,-0.6295775974063018,0.6295775974063018,5.355852796450498,4.7262751990441965,HHFAMINC,10
global_trip_suppression_a1p25,593,9895359.59758039,3.1047413020834793,4.542783136075702,-1.669984446501039,1.669984446501039,5.355852796450498,3.6858683499494584,HHFAMINC,10
cohort_trip_suppression_a1,593,9895359.59758039,3.09637329979376,4.284005846918903,0.0516043321888117,0.0516043321888117,5.355852796450498,5.40745712863931,HHFAMINC,10
primary_gated_adapter,593,9895359.59758039,2.9951329693793713,4.254555962586669,-0.6122787241917323,0.6122787241917323,5.355852796450498,4.743574072258766,HHFAMINC,10
historical_xgboost,806,12741223.017888635,4.6388747368674474,5.623895902347544,3.516130758751933,3.516130758751933,5.456635812435828,8.97276657118776,HHFAMINC,11
global_trip_suppression_a1,806,12741223.017888635,3.0629183992482343,4.319004661885798,-0.6852329137704813,0.6852329137704813,5.456635812435828,4.771402898665347,HHFAMINC,11
global_trip_suppression_a1p25,806,12741223.017888635,3.18584619904094,4.653850761294577,-1.7355738239336225,1.7355738239336225,5.456635812435828,3.721061988502206,HHFAMINC,11
cohort_trip_suppression_a1,806,12741223.017888635,3.1817884663933556,4.298784854068008,0.14247510792271253,0.14247510792271253,5.456635812435828,5.599110920358541,HHFAMINC,11
primary_gated_adapter,806,12741223.017888635,3.0856471819442577,4.3396489104392595,-0.5514760804795884,0.5514760804795884,5.456635812435828,4.905159731956239,HHFAMINC,11
historical_xgboost,1363,22465587.35554148,4.128547263733302,4.999645941640597,3.366626452054733,3.366626452054733,3.781268680541182,7.147895132595915,CENSUS_R,1
global_trip_suppression_a1,1363,22465587.35554148,2.485661717588466,3.496401175040776,0.019731526000244762,0.019731526000244762,3.781268680541182,3.801000206541427,CENSUS_R,1
global_trip_suppression_a1p25,1363,22465587.35554148,2.459338807560631,3.6476418116638176,-0.8169922040851877,0.8169922040851877,3.781268680541182,2.9642764764559946,CENSUS_R,1
cohort_trip_suppression_a1,1363,22465587.35554148,2.468212541942466,3.447074668616304,0.0869091720265325,0.0869091720265325,3.781268680541182,3.8681778525677144,CENSUS_R,1
primary_gated_adapter,1363,22465587.35554148,2.4160301702602545,3.466281164908239,-0.21607469237335683,0.21607469237335683,3.781268680541182,3.5651939881678256,CENSUS_R,1
historical_xgboost,1861,27691062.214524657,4.366539726269556,5.38551695449052,3.6356875659486194,3.6356875659486194,3.88100875270086,7.516696318649478,CENSUS_R,2
global_trip_suppression_a1,1861,27691062.214524657,2.5536166400215423,3.6562654231525,0.11610700249215836,0.11610700249215836,3.88100875270086,3.997115755193018,CENSUS_R,2
global_trip_suppression_a1p25,1861,27691062.214524657,2.5192329132206277,3.765660260742098,-0.7637881353435391,0.7637881353435391,3.88100875270086,3.11722061735732,CENSUS_R,2
cohort_trip_suppression_a1,1861,27691062.214524657,2.5687449368369286,3.6206821710694066,0.3266439187159874,0.3266439187159874,3.88100875270086,4.207652671416848,CENSUS_R,2
primary_gated_adapter,1861,27691062.214524657,2.4970493677183927,3.6215022792681286,0.016308611191168002,0.016308611191168002,3.88100875270086,3.8973173638920278,CENSUS_R,2
historical_xgboost,2915,48773694.938607365,4.497141462828198,5.492721177087491,3.781757732796926,3.781757732796926,3.686845144150684,7.46860287694761,CENSUS_R,3
global_trip_suppression_a1,2915,48773694.938607365,2.5672030160977437,3.6510442353618036,0.2846962081815025,0.2846962081815025,3.686845144150684,3.9715413523321863,CENSUS_R,3
global_trip_suppression_a1p25,2915,48773694.938607365,2.5028654787369247,3.7184137781965276,-0.5895691755695528,0.5895691755695528,3.686845144150684,3.0972759685811315,CENSUS_R,3
cohort_trip_suppression_a1,2915,48773694.938607365,2.6061673902235265,3.7177142109048065,0.3979143786026412,0.3979143786026412,3.686845144150684,4.084759522753326,CENSUS_R,3
primary_gated_adapter,2915,48773694.938607365,2.5360360966380484,3.6523628677592352,0.13669524497153665,0.13669524497153665,3.686845144150684,3.8235403891222206,CENSUS_R,3
historical_xgboost,1754,28614362.491326496,4.202172596734363,5.1856049476041886,3.461985590916318,3.461985590916318,4.0714368823674,7.533422473283719,CENSUS_R,4
global_trip_suppression_a1,1754,28614362.491326496,2.581480912319827,3.658673520088898,-0.0654267391485736,0.0654267391485736,4.0714368823674,4.006010143218827,CENSUS_R,4
global_trip_suppression_a1p25,1754,28614362.491326496,2.6079684152875044,3.8363578546428947,-0.9472798248687377,0.9472798248687377,4.0714368823674,3.124157057498662,CENSUS_R,4
cohort_trip_suppression_a1,1754,28614362.491326496,2.551402391746962,3.5394741891311843,0.21867423268209407,0.21867423268209407,4.0714368823674,4.290111115049494,CENSUS_R,4
primary_gated_adapter,1754,28614362.491326496,2.5175193438717924,3.609391770720888,-0.18182708283998328,0.18182708283998328,4.0714368823674,3.8896097995274164,CENSUS_R,4
