method,seed,calibration_fraction,calibration_rows,test_rows,mae,rmse,bias,r2,weighted_mae,weighted_rmse,weighted_bias,weighted_r2,weighted_target_mean,weighted_prediction_mean,device
global_trip_suppression_a0p75,0,0.0,0,7893,2.6746444572974903,3.639879597428219,0.6713655186153354,0.2108271400136189,2.8052887125220876,3.762240954816856,0.9934515432319766,0.1804941666482196,3.831913682179956,4.825365225411933,cuda
gated_trip_suppression_a0p75_d0p05,0,0.0,0,7893,2.7005747952998473,3.661934708654231,0.7796421216152364,0.2012345001132908,2.8041549016768377,3.7711755339111512,1.0620097521730363,0.17659721594539923,3.831913682179956,4.893923434352992,cuda
gated_trip_suppression_a0p75_d0p1,0,0.0,0,7893,2.6856595279925197,3.6527157632629392,0.7187282025636252,0.20525123275966206,2.787154941764485,3.7530596655507567,1.004013204056384,0.18448909379600542,3.831913682179956,4.83592688623634,cuda
gated_trip_suppression_a0p75_d0p15,0,0.0,0,7893,2.6443447813793406,3.6198591757706704,0.6014675686473376,0.21948463640414895,2.745799674993658,3.715285191570622,0.8840174212201105,0.20082268285443672,3.831913682179956,4.715931103400067,cuda
llm_recovery_pressure_a1,0,0.0,0,7893,2.697012625939589,3.683978221774701,0.59243303616336,0.19158900130207435,2.810051722522859,3.7993533962660972,0.8806985239464731,0.164246472440848,3.831913682179956,4.712612206126429,cuda
global_recovery_pressure_a1,0,0.0,0,7893,2.642775587645102,3.621309800407805,0.5682751626381429,0.2188589426258275,2.764740718999714,3.7322944737623764,0.8855046473263953,0.19348836074149478,3.831913682179956,4.717418329506352,cuda
llm_confidence_pressure_a1,0,0.0,0,7893,2.9961786865561972,3.911090752352646,1.437385621290564,0.08884158167427558,3.1854195642549343,4.116896024762274,1.7794899993886821,0.018707152768915436,3.831913682179956,5.611403681568638,cuda
llm_trip_suppression_a1,0,0.0,0,7893,2.5228085069131994,3.5699287755465967,0.059325769735080434,0.24086815823838292,2.5614570285373293,3.6104098711656576,0.2874487054041855,0.2453043415380034,3.831913682179956,4.119362387584141,cuda
global_trip_suppression_a1,0,0.0,0,7893,2.493940275086195,3.590593388229278,-0.1600445200623705,0.2320542186733926,2.5530939118909326,3.6271520302738067,0.12287415459774567,0.23828877752127875,3.831913682179956,3.9547878367777023,cuda
gated_trip_suppression_a1_d0p05,0,0.0,0,7893,2.515048853091905,3.5751591147658806,-0.01567571606250267,0.23864210504965366,2.548171191635902,3.6094679911197587,0.21428509985249197,0.24569805864278027,3.831913682179956,4.046198782032447,cuda
